CODFILIAL|NOTAFISCAL|DESC_FORNECEDOR|DATAINCLUSAO|IDSTATUS
9|44273|PSA PRODUCAO DE DOCES EIRELI  |14/12/2023 16:48:24|1
9|412890|RIO SOFT ICE DO BRASIL TRASNP |14/12/2023 16:48:47|1
9|3436781|LUA NOVA IND COM PROD ALIM|14/12/2023 17:23:04|1
9|24870|CIANO INDUSTRIA DE ALIM LTDA  |14/12/2023 17:23:27|1
9|4988|A.S.A LANCHONETE PROD EIRELI  |14/12/2023 17:27:31|1
9|29895|INDUSTRIA E COMERCIO PRODUTOS |14/12/2023 17:28:23|1
9|29894|INDUSTRIA E COMERCIO PRODUTOS |14/12/2023 17:28:47|1
9|469276|IND. E COM. LAT MARIA MADALENA|14/12/2023 17:29:28|1
9|372678|LAT RIBEIRO DE SOUZA IND LTDA |14/12/2023 17:32:04|1
9|120776|ECOBRAS CENTRO ECOBIO BRA LTDA|14/12/2023 17:32:29|1
9|667037|I DON FRANCESCO LATIC LTDA    |14/12/2023 17:35:40|1
9|2590685|FRIGORIFICO JAHU LTDA         |14/12/2023 17:37:03|1
9|7721|DE PAULO PAES INDUSTRIA DE ALI|14/12/2023 17:38:40|1
9|3552|AGUAS PRATA LTDA              |14/12/2023 17:39:08|1
9|3569|AGUAS PRATA LTDA              |14/12/2023 17:46:56|1
9|118109|SITIO SOLIDAO PROD AGROP LTDA |14/12/2023 18:02:11|1
9|86334|FAZENDA BELLE RIO LTDA        |15/12/2023 07:27:43|1
9|1726790|BIMBO DO BRASIL LTDA          |15/12/2023 07:28:08|1
9|181486|FRUTICULA A RIBEIRO LTDA      |15/12/2023 07:28:41|1
9|211817|NATURAL FARMS AGRICOLA LTDA   |15/12/2023 07:29:13|1
9|382877|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:29:30|1
9|282584|JFC DISTRIB LTDA              |15/12/2023 07:29:53|1
9|119863|MANOEL FERNANDO MORGADO CAMPAN|15/12/2023 07:30:14|1
9|282558|JFC DISTRIB LTDA              |15/12/2023 07:30:35|1
9|382915|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:30:52|1
9|55873|AGUA DE COCO MACENA LTDA      |15/12/2023 08:13:00|1
9|55832|AGUA DE COCO MACENA LTDA      |15/12/2023 08:13:36|1
9|55797|AGUA DE COCO MACENA LTDA      |15/12/2023 08:14:06|1
9|26445|PANIFICADORA SCHWARZBROT LTDA |15/12/2023 08:14:41|1
9|852932|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 08:32:30|1
9|852931|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 08:32:59|1
18|63607|PNB COMERCIAL EIRELI          |14/12/2023 16:18:45|1
18|44281|PSA PRODUCAO DE DOCES EIRELI  |14/12/2023 17:12:37|1
18|382922|JFC NAT SALADS DIST PROD HORT |15/12/2023 06:11:00|1
18|211822|NATURAL FARMS AGRICOLA LTDA   |15/12/2023 06:11:31|1
18|119871|MANOEL FERNANDO MORGADO CAMPAN|15/12/2023 06:12:16|1
18|282565|JFC DISTRIB LTDA              |15/12/2023 06:12:52|1
18|282541|JFC DISTRIB LTDA              |15/12/2023 06:13:27|1
18|86342|FAZENDA BELLE RIO LTDA        |15/12/2023 06:22:28|1
18|232342|MOSELTAL PAES E MASSAS LTDA   |15/12/2023 09:10:50|1
18|55888|AGUA DE COCO MACENA LTDA      |15/12/2023 09:11:28|1
18|55810|AGUA DE COCO MACENA LTDA      |15/12/2023 09:11:55|1
18|55850|AGUA DE COCO MACENA LTDA      |15/12/2023 09:12:21|1
18|370711|PANIFICADORA PECPAO LTDA      |15/12/2023 09:50:28|1
18|3437710|LUA NOVA IND COM PROD ALIM|15/12/2023 10:39:35|1
18|412878|RIO SOFT ICE DO BRASIL TRASNP |15/12/2023 10:43:20|1
18|363457|UNILEVER BRASIL LTDA          |15/12/2023 10:46:48|1
18|852985|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:49:57|1
18|852983|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:50:30|1
18|852984|WICKBOLD N PAO IND ALIM LTDA  |15/12/2023 11:50:57|1
18|19207|GENERAL MILLS BRASIL ALIM LTDA|15/12/2023 11:56:39|1
18|667494|I DON FRANCESCO LATIC LTDA    |15/12/2023 12:48:16|1
18|74776|NORAC DO BRASIL IND ALIM LTDA |15/12/2023 12:48:53|1
18|78912|VALE DAS PALMEIRAS LAT LTDA   |15/12/2023 12:49:22|1
18|21782|BW ALIMENTOS COMERCIO ATACADIS|15/12/2023 14:20:49|1
18|118115|SITIO SOLIDAO PROD AGROP LTDA |15/12/2023 14:21:17|1
31|78923|VALE DAS PALMEIRAS LAT LTDA   |15/12/2023 07:06:10|1
31|49091|GRACIANO E VETTORI LTDA       |15/12/2023 07:06:54|1
31|667538|I DON FRANCESCO LATIC LTDA    |15/12/2023 07:13:23|1
31|667506|I DON FRANCESCO LATIC LTDA    |15/12/2023 07:15:31|1
31|382890|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:16:09|1
31|211813|NATURAL FARMS AGRICOLA LTDA   |15/12/2023 07:16:44|1
31|382930|JFC NAT SALADS DIST PROD HORT |15/12/2023 07:19:24|1
